epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.125,1.3387,3.00827,2.43435,1.29722,0.66849,0.51675,0.58641,0.42517,0.60018,0.47669,0.51751,0.34398,1.10089,2.45759,1.19096,1.12601,3.689e-05,3.689e-05,3.689e-05
2,236.907,1.35165,2.97301,2.12846,1.34068,0.6388,0.50072,0.58292,0.4187,0.58453,0.4525,0.51514,0.33344,1.11352,2.48238,1.24966,1.13724,6.7548e-05,6.7548e-05,6.7548e-05
3,359.136,1.32675,2.87673,2.09977,1.29445,0.63862,0.47863,0.56893,0.40054,0.59775,0.42242,0.49523,0.31915,1.13566,2.52737,1.30322,1.15129,9.06661e-05,9.06661e-05,9.06661e-05
4,474.871,1.32713,2.84435,1.91977,1.33063,0.60829,0.50405,0.58346,0.4117,0.60381,0.43675,0.50696,0.32616,1.13041,2.50944,1.288,1.14506,8.3657e-05,8.3657e-05,8.3657e-05
5,615.428,1.2606,2.7829,1.90251,1.26549,0.55993,0.56403,0.60871,0.42686,0.5876,0.48254,0.53548,0.33576,1.11698,2.49357,1.25338,1.13713,7.1876e-05,7.1876e-05,7.1876e-05
6,727.519,1.26989,2.78928,1.72175,1.27682,0.64309,0.52534,0.61,0.4358,0.61417,0.47939,0.53512,0.33743,1.1085,2.46506,1.24592,1.12987,6.0095e-05,6.0095e-05,6.0095e-05
7,841.45,1.26688,2.68588,1.79306,1.26764,0.67333,0.52339,0.61465,0.43939,0.67002,0.47287,0.5426,0.34114,1.10715,2.45747,1.24066,1.12774,4.8314e-05,4.8314e-05,4.8314e-05
8,956.311,1.24015,2.73867,1.75689,1.2533,0.54802,0.60612,0.63022,0.458,0.63196,0.49712,0.56189,0.35336,1.0937,2.42623,1.20813,1.11778,3.6533e-05,3.6533e-05,3.6533e-05
9,1069.5,1.21019,2.64709,1.67821,1.24012,0.5909,0.57903,0.62859,0.46098,0.61849,0.50411,0.56046,0.35933,1.08608,2.41526,1.20505,1.11479,2.4752e-05,2.4752e-05,2.4752e-05
10,1194.58,1.24159,2.65773,1.687,1.25598,0.66778,0.54414,0.63221,0.46185,0.63526,0.51127,0.56241,0.35822,1.08347,2.41051,1.19361,1.11563,1.2971e-05,1.2971e-05,1.2971e-05
